Nutrient,Unit,Adults and Children ≥ 4 years,Infants under 12 months,Children 1-3 years,Pregnant and Nursing Women
Vitamin A,mcg,19.148936170212767,71.42857142857143,10.0,25.49019607843137
Vitamin C,mg,1.9148936170212765,7.142857142857142,0.5,2.3529411764705883
Calcium,mg,27.659574468085108,37.142857142857146,23.333333333333332,25.49019607843137
Iron,mg,0.3829787234042553,1.5714285714285716,0.23333333333333336,0.5294117647058824
Vitamin D,mcg,0.425531914893617,1.4285714285714286,0.5,0.29411764705882354
Vitamin E,mg,0.3191489361702127,0.7142857142857143,0.2,0.37254901960784315
Vitamin K,mcg,2.553191489361702,0.35714285714285715,1.0,1.7647058823529411
Thiamin,mg,0.02553191489361702,0.04285714285714286,0.016666666666666666,0.027450980392156862
Riboflavin,mg,0.027659574468085108,0.05714285714285715,0.016666666666666666,0.03137254901960784
Niacin,mg,0.3404255319148936,0.5714285714285714,0.2,0.35294117647058826
Vitamin B6,mg,0.036170212765957444,0.04285714285714286,0.016666666666666666,0.0392156862745098
Folate,mcg,8.51063829787234,11.428571428571429,5.0,11.76470588235294
Vitamin B12,mcg,0.05106382978723404,0.07142857142857142,0.030000000000000002,0.054901960784313725
Biotin,mcg,0.6382978723404255,0.8571428571428572,0.26666666666666666,0.6862745098039216
Pantothenic acid,mg,0.10638297872340426,0.2571428571428571,0.06666666666666667,0.13725490196078433
Phosphorus,mg,26.595744680851062,39.285714285714285,15.333333333333332,24.509803921568626
Iodine,mcg,3.1914893617021276,18.571428571428573,3.0,5.686274509803922
Magnesium,mg,8.936170212765958,10.714285714285714,2.666666666666667,7.8431372549019605
Zinc,mg,0.23404255319148937,0.4285714285714286,0.1,0.25490196078431376
Selenium,mcg,1.1702127659574468,2.857142857142857,0.6666666666666667,1.3725490196078431
Copper,mg,0.01914893617021277,0.028571428571428574,0.009999999999999998,0.025490196078431372
Manganese,mg,0.04893617021276595,0.08571428571428572,0.039999999999999994,0.050980392156862744
Chromium,mcg,0.7446808510638299,0.7857142857142858,0.36666666666666664,0.8823529411764706
Molybdenum,mcg,0.9574468085106382,0.4285714285714286,0.5666666666666667,0.9803921568627451
Chloride,mg,48.93617021276596,81.42857142857143,50.0,45.09803921568628
Potassium,mg,100.0,100.0,100.0,100.0
Choline,mg,11.702127659574469,21.428571428571427,6.666666666666667,10.784313725490197
Protein,g,,1.5714285714285716,,1.392156862745098
